Step,Regimes,Controls
sysctl_net_ipv4_icmp_echo_ignore_broadcasts,"[NIST 800-53,CUI,DISA@RHEL6,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,STIGID@RHEL7,SRG@RHEL6,STIGID@RHEL6]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),CM-7,CM-7 (5),CM-7 (5)(a),CM-7 (5)(b),CM-7 (5)(c),CM-7 (4),CM-7 (4)(a),CM-7 (4)(b),CM-7 (4)(c),CM-7 (3),CM-7 (2),CM-7 (1),CM-7 (1)(a),CM-7 (1)(b),CM-7b.,CM-7a.,SC-5,SC-5 (1),SC-5 (2),SC-5 (3),SC-5 (3)(a),SC-5 (3)(b),3.1.20,1551,366,DSS05.04,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,BAI04.04,DSS06.02,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS03.01,DSS01.03,DSS03.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 7.2,SR 5.2,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,SR 6.2,A.11.1.5,A.9.2.3,A.17.2.1,A.11.1.4,A.12.1.3,A.13.2.2,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.1.1,A.13.1.2,sysctl_net_ipv4_icmp_echo_ignore_broadcasts,5.10.1.1,040630,SRG-OS-999999,000092]"
sysctl_net_ipv4_conf_default_accept_redirects,"[NIST 800-53,CUI,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),CM-7,CM-7 (5),CM-7 (5)(a),CM-7 (5)(b),CM-7 (5)(c),CM-7 (4),CM-7 (4)(a),CM-7 (4)(b),CM-7 (4)(c),CM-7 (3),CM-7 (2),CM-7 (1),CM-7 (1)(a),CM-7 (1)(b),CM-7b.,CM-7a.,SC-5,SC-5 (1),SC-5 (2),SC-5 (3),SC-5 (3)(a),SC-5 (3)(b),SC-7,SC-7a.,SC-7b.,SC-7c.,SC-7 (1),SC-7 (2),SC-7 (3),SC-7 (4),SC-7 (4)(a),SC-7 (4)(b),SC-7 (4)(c),SC-7 (4)(d),SC-7 (4)(e),SC-7 (5),SC-7 (6),SC-7 (7),SC-7 (8),SC-7 (9),SC-7 (9)(a),SC-7 (9)(b),SC-7 (10),SC-7 (11),SC-7 (12),SC-7 (13),SC-7 (14),SC-7 (15),SC-7 (16),SC-7 (17),SC-7 (18),SC-7 (19),SC-7 (20),SC-7 (21),SC-7 (22),SC-7 (23),3.1.20,1551,DSS05.04,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,BAI04.04,DSS06.02,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS03.01,DSS01.03,DSS03.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 7.2,SR 5.2,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,SR 6.2,A.11.1.5,A.9.2.3,A.17.2.1,A.11.1.4,A.12.1.3,A.13.2.2,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.1.1,A.13.1.2,sysctl_net_ipv4_conf_default_accept_redirects,5.10.1.1,040640,NT28(R22),SRG-OS-999999,000091]"
sysctl_net_ipv4_conf_all_accept_source_route,"[NIST 800-53,CUI,DISA@RHEL6,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),CM-7,CM-7 (5),CM-7 (5)(a),CM-7 (5)(b),CM-7 (5)(c),CM-7 (4),CM-7 (4)(a),CM-7 (4)(b),CM-7 (4)(c),CM-7 (3),CM-7 (2),CM-7 (1),CM-7 (1)(a),CM-7 (1)(b),CM-7b.,CM-7a.,SC-5,SC-5 (1),SC-5 (2),SC-5 (3),SC-5 (3)(a),SC-5 (3)(b),3.1.20,1551,366,DSS05.04,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,BAI04.04,DSS06.02,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS03.01,DSS01.03,DSS03.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 7.2,SR 5.2,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,SR 6.2,A.11.1.5,A.9.2.3,A.17.2.1,A.11.1.4,A.12.1.3,A.13.2.2,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.1.1,A.13.1.2,sysctl_net_ipv4_conf_all_accept_source_route,040610,NT28(R22),SRG-OS-999999,000083]"
sysctl_net_ipv4_conf_default_accept_source_route,"[NIST 800-53,CUI,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),CM-7,CM-7 (5),CM-7 (5)(a),CM-7 (5)(b),CM-7 (5)(c),CM-7 (4),CM-7 (4)(a),CM-7 (4)(b),CM-7 (4)(c),CM-7 (3),CM-7 (2),CM-7 (1),CM-7 (1)(a),CM-7 (1)(b),CM-7b.,CM-7a.,SC-5,SC-5 (1),SC-5 (2),SC-5 (3),SC-5 (3)(a),SC-5 (3)(b),SC-7,SC-7a.,SC-7b.,SC-7c.,SC-7 (1),SC-7 (2),SC-7 (3),SC-7 (4),SC-7 (4)(a),SC-7 (4)(b),SC-7 (4)(c),SC-7 (4)(d),SC-7 (4)(e),SC-7 (5),SC-7 (6),SC-7 (7),SC-7 (8),SC-7 (9),SC-7 (9)(a),SC-7 (9)(b),SC-7 (10),SC-7 (11),SC-7 (12),SC-7 (13),SC-7 (14),SC-7 (15),SC-7 (16),SC-7 (17),SC-7 (18),SC-7 (19),SC-7 (20),SC-7 (21),SC-7 (22),SC-7 (23),3.1.20,1551,366,DSS05.04,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,BAI04.04,DSS06.02,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS03.01,DSS01.03,DSS03.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 7.2,SR 5.2,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,SR 6.2,A.11.1.5,A.9.2.3,A.17.2.1,A.11.1.4,A.12.1.3,A.13.2.2,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.1.1,A.13.1.2,sysctl_net_ipv4_conf_default_accept_source_route,5.10.1.1,040620,NT28(R22),SRG-OS-999999,000089]"
sysctl_net_ipv4_conf_all_send_redirects,"[NIST 800-53,CUI,DISA@RHEL6,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),CM-7,CM-7 (5),CM-7 (5)(a),CM-7 (5)(b),CM-7 (5)(c),CM-7 (4),CM-7 (4)(a),CM-7 (4)(b),CM-7 (4)(c),CM-7 (3),CM-7 (2),CM-7 (1),CM-7 (1)(a),CM-7 (1)(b),CM-7b.,CM-7a.,3.1.20,1551,366,DSS05.04,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,BAI04.04,DSS06.02,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS03.01,DSS01.03,DSS03.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 7.2,SR 5.2,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,SR 6.2,A.11.1.5,A.9.2.3,A.17.2.1,A.11.1.4,A.12.1.3,A.13.2.2,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.1.1,A.13.1.2,sysctl_net_ipv4_conf_all_send_redirects,5.10.1.1,040660,NT28(R22),SRG-OS-999999,000081]"
sysctl_net_ipv4_conf_default_send_redirects,"[NIST 800-53,CUI,DISA@RHEL6,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),CM-7,CM-7 (5),CM-7 (5)(a),CM-7 (5)(b),CM-7 (5)(c),CM-7 (4),CM-7 (4)(a),CM-7 (4)(b),CM-7 (4)(c),CM-7 (3),CM-7 (2),CM-7 (1),CM-7 (1)(a),CM-7 (1)(b),CM-7b.,CM-7a.,SC-5,SC-5 (1),SC-5 (2),SC-5 (3),SC-5 (3)(a),SC-5 (3)(b),SC-7,SC-7a.,SC-7b.,SC-7c.,SC-7 (1),SC-7 (2),SC-7 (3),SC-7 (4),SC-7 (4)(a),SC-7 (4)(b),SC-7 (4)(c),SC-7 (4)(d),SC-7 (4)(e),SC-7 (5),SC-7 (6),SC-7 (7),SC-7 (8),SC-7 (9),SC-7 (9)(a),SC-7 (9)(b),SC-7 (10),SC-7 (11),SC-7 (12),SC-7 (13),SC-7 (14),SC-7 (15),SC-7 (16),SC-7 (17),SC-7 (18),SC-7 (19),SC-7 (20),SC-7 (21),SC-7 (22),SC-7 (23),3.1.20,1551,366,DSS05.04,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,BAI04.04,DSS06.02,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS03.01,DSS01.03,DSS03.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 7.2,SR 5.2,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,SR 6.2,A.11.1.5,A.9.2.3,A.17.2.1,A.11.1.4,A.12.1.3,A.13.2.2,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.1.1,A.13.1.2,sysctl_net_ipv4_conf_default_send_redirects,5.10.1.1,040650,NT28(R22),SRG-OS-999999,000080]"
libreswan_approved_tunnels,"[NIST 800-53,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),336,164.310(b),164.308(a)(4)(i),164.308(b)(1),164.308(b)(3),164.312(e)(1),164.312(e)(2)(ii),DSS05.04,APO13.01,DSS05.02,DSS01.05,DSS05.07,APO01.06,DSS06.02,DSS03.01,4.3.3.4,4.2.3.4,4.4.3.3,SR 3.1,SR 3.8,SR 4.1,SR 7.1,SR 5.2,SR 7.6,SR 3.5,SR 4.3,SR 5.1,SR 5.3,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.2,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.12.1.2,A.12.1.1,A.13.1.2,libreswan_approved_tunnels,040820]"
sysctl_net_ipv6_conf_all_accept_source_route,"[NIST 800-53,CUI,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7,ANSSI]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),3.1.20,366,DSS05.04,APO13.01,DSS05.02,DSS01.05,DSS05.07,APO01.06,DSS06.02,DSS03.01,4.3.3.4,4.2.3.4,4.4.3.3,SR 3.1,SR 3.8,SR 4.1,SR 7.1,SR 5.2,SR 7.6,SR 3.5,SR 4.3,SR 5.1,SR 5.3,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.2,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.12.1.2,A.12.1.1,A.13.1.2,sysctl_net_ipv6_conf_all_accept_source_route,040830,NT28(R22)]"
file_groupowner_cron_allow,"[NIST 800-53,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7]","[AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),366,DSS05.04,DSS05.07,APO01.06,DSS06.02,4.3.3.7.3,SR 2.1,SR 5.2,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,file_groupowner_cron_allow,021120]"
file_owner_cron_allow,"[NIST 800-53,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7]","[AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),366,DSS05.04,DSS05.07,APO01.06,DSS06.02,4.3.3.7.3,SR 2.1,SR 5.2,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,file_owner_cron_allow,021110]"
file_permissions_sshd_pub_key,"[NIST 800-53,CUI,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7,STIGID@SLE12]","[AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),3.1.13,3.13.10,366,DSS05.04,DSS05.07,APO01.06,DSS06.02,4.3.3.7.3,SR 2.1,SR 5.2,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,file_permissions_sshd_pub_key,040410,030210]"
file_permissions_sshd_private_key,"[NIST 800-53,CUI,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7,STIGID@SLE12]","[AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),AC-17,AC-17a.,AC-17b.,AC-17 (1),AC-17 (2),AC-17 (3),AC-17 (4),AC-17 (4)(a),AC-17 (4)(b),AC-17 (5),AC-17 (6),AC-17 (7),AC-17 (8),AC-17 (9),3.1.13,3.13.10,366,DSS05.04,DSS05.07,APO01.06,DSS06.02,4.3.3.7.3,SR 2.1,SR 5.2,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,file_permissions_sshd_private_key,040420,030220]"
sshd_enable_strictmodes,"[NIST 800-53,CUI,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7,VMMSRG,STIGID@SLE12]","[AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),3.1.12,366,164.310(b),164.308(a)(4)(i),164.308(b)(1),164.308(b)(3),164.312(e)(1),164.312(e)(2)(ii),DSS05.04,DSS05.07,APO01.06,DSS06.02,4.3.3.7.3,SR 2.1,SR 5.2,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,sshd_enable_strictmodes,040450,SRG-OS-000480-VMM-002000,030230]"
