Table	Name	Description	Controls
Table 6: Web PEP Security Capabilities	Active Content Mitigation	Active content mitigation protections detect the presence of unapproved active content and facilitate its removal.	PR.PT, DE.CM
Table 6: Web PEP Security Capabilities	Certificate Denylisting	Certificate denylisting protections prevent communication with entities that use a set of known bad certificates.	PR.PT, DE.CM
Table 6: Web PEP Security Capabilities	Content Filtering	Content filtering protections detect the presence of unapproved content and facilitate its removal or denial of access.	PR.PT, DE.CM, DE.DP
Table 6: Web PEP Security Capabilities	Authenticated Proxy	Authenticated proxies require entities to authenticate with the proxy before making use of it, enabling user, group, and location-aware security controls.	PR.AC
Table 6: Web PEP Security Capabilities	Data Loss Prevention	DLP technologies detect instances of the exfiltration, either malicious or accidental, of agency data.	PR.DS
Table 6: Web PEP Security Capabilities	Domain Resolution Filtering	Domain resolution filtering prevents entities from using the DNS-over-Hypertext Transfer Protocol Secure (HTTPS), or DoH, domain resolution protocol, possibly evading DNS-based protections.	PR.PT, DE.CM
Table 6: Web PEP Security Capabilities	Protocol Compliance Enforcement	Protocol compliance enforcement technologies ensure that traffic complies with protocol definitions, like those documented by the Internet Engineering Task Force (IETF).7	PR.PT
Table 6: Web PEP Security Capabilities	Domain Category Filtering	Domain category filtering technologies allow for classes of domains (e.g., banking, medical) to receive a different set of security protections.	PR.AC, PR.IP
Table 6: Web PEP Security Capabilities	Domain Reputation Filtering	Domain reputation filtering protections are a form of domain denylisting based on a domain’s reputation, as defined by either the agency or an external entity.	PR.PT
Table 6: Web PEP Security Capabilities	Bandwidth Control	Bandwidth control technologies allow for limiting the amount of bandwidth used by different classes of domains.	PR.PT
Table 6: Web PEP Security Capabilities	Malicious Content Filtering	Malicious content filtering protections detect the presence of malicious content and facilitate its removal.	PR.DS, PR.PT, DE.CM
Table 6: Web PEP Security Capabilities	Access Control	Access control technologies allow an agency to define policies that limit what actions may be performed by connected users and entities.	PR.AC
Table 7: Networking PEP Security Capabilities	Access Control	Access control protections prevent the ingress, egress, or transmission of unauthorized network traffic.	PR.AC, PR.IP, DE.CM
Table 7: Networking PEP Security Capabilities	Internet Address Denylisting	Internet address denylisting protections prevent the ingest or transiting of traffic received from, or destined, to a denylisted internet address.	PR.PT, DE.CM
Table 7: Networking PEP Security Capabilities	Host Containment	Host containment protections enable a network to revoke or quarantine a host’s access to the network.	PR.AC, PR.IP, PR.PT
Table 7: Networking PEP Security Capabilities	Network Segmentation	Network segmentation separates a given network into subnetworks, facilitating security controls between the subnetworks, and decreasing the attack surface of the network.	PR.AC
Table 7: Networking PEP Security Capabilities	Microsegmentation	Microsegmentation divides the network, either physically or virtually, according to the communication needs of application and data workflows, facilitating security controls to protect the data.	PR.AC, PR.DS, PR.IP, PR.PT
Table 8: Resiliency PEP Security Capabilities	Distributed Denial of Service Protections	Distributed Denial of Service (DDoS) protections mitigate the effects of distributed denial of service attacks.	PR.PT
Table 8: Resiliency PEP Security Capabilities	Elastic Expansion	Elastic expansion enables agencies to dynamically expand the resources available for services as conditions require.	ID.AM, PR.DS
Table 8: Resiliency PEP Security Capabilities	Regional Delivery	Regional delivery technologies enable the deployment of agency services across geographically diverse locations.	ID.AM, PR.AC, PR.DS
Table 9: Domain Name System PEP Security Capabilities	Domain Name Sinkholing	Domain name sinkholing protections are a form of denylisting that protects clients from accessing malicious domains by responding to DNS queries for those domains.	PR.PT
Table 9: Domain Name System PEP Security Capabilities	Domain Name Verification for Agency Clients	Domain name verification protections ensure that domain name lookups from agency clients, whether for internal or external domains, are validated according to Domain Name System Security Extensions (DNSSEC).	PR.PT
Table 9: Domain Name System PEP Security Capabilities	Domain Name Validation for Agency Domains	Domain name validation protections ensure that all agency domain names are secured using DNSSEC, enabling external entities to validate their resolution to the domain names.	PR.PT
Table 9: Domain Name System PEP Security Capabilities	EINSTEIN 3 Accelerated Domain Name Protections	E3A is an intrusion prevention capability offered by NCPS, provided by CISA, that includes a DNS sinkholing security service.	PR.PT
Tabel 10: Intrustion Detection PEP Security Capabilities	Endpoint Detection and Response	Endpoint detection and response (EDR) tools combine endpoint and network event data to aid in the detection of malicious activity.	DE.AE, DE.CM, RS.AN
Tabel 10: Intrustion Detection PEP Security Capabilities	Intrusion Detection and Prevention Systems	Intrusion detection systems detect and report malicious activity. Intrusion prevention systems attempt to stop the activity.	DE.AE, DE.CM, DE.DP, RS.AN
Tabel 10: Intrustion Detection PEP Security Capabilities	Adaptive Access Control	Adaptive access control technologies factor in additional context, like security risk, operational needs, and other heuristics, when evaluating access control decisions.	PR.AC, DE.CM
Tabel 10: Intrustion Detection PEP Security Capabilities	Deception Platforms	Deception platform technologies provide decoy environments, from individual machines to entire networks, that can be used to deflect attacks away from the operational systems supporting agency missions/business functions.	PR.PT, DE.AE, RS.AN
Tabel 10: Intrustion Detection PEP Security Capabilities	Certificate Transparency Log Monitoring	Certificate transparency log monitoring allows agencies to discover when new certificates are issued for agency domains.	DE.CM
Table 11: Enterprise PEP Security Capabilities	Security Orchestration, Automation, and Response	Security Orchestration, Automation, and Response (SOAR) tools define, prioritize, and automate the response to security incidents.	DE.AE, DE.CM, DE.DP, RS.CO, RS.AN, RC.RP
Table 11: Enterprise PEP Security Capabilities	Shadow Information Technology Detection	Shadow information technology (IT) detection systems detect the presence of unauthorized software and systems in use by an agency.	PR.IP, PR.MA, DE.CM
Table 11: Enterprise PEP Security Capabilities	Virtual Private Network	Virtual private network (VPN) solutions provide a secure communications mechanism between networks that may traverse across unprotected or public networks.	PR.AC, PR.DS, PR.IP, PR.MA, PR.PT
Table 12: Unified Communications and Collaboration PEP Security Capabilities	Identity Verification	Identity verification ensures that access to the virtual meeting is limited to appropriate individuals. Waiting room features, where the meeting host authorizes vetted individuals to join the meeting, can also be utilized.	PR.AC
Table 12: Unified Communications and Collaboration PEP Security Capabilities	Encrypted Communication	Communication between virtual meeting participants and any data exchanged is encrypted at rest and in transit. Some UCC offerings support end-to-end encryption, where encryption is performed on the clients and can only be decrypted by the other authenticated participants and cannot be decrypted by the UCC vendor.	PR.PT, PR.DS
Table 12: Unified Communications and Collaboration PEP Security Capabilities	Connection Termination	Connection termination mechanisms ensure the meeting host can positively control participation through inactivity timeouts, on-demand prompts, unique access codes for each meeting, host participant eviction, and even meeting duration limits.	PR.AC, PR.IP, PR.AT
Table 12: Unified Communications and Collaboration PEP Security Capabilities	Data Loss Prevention	Mechanisms should be implemented to control the sharing of information between UCC participants, intentional or incidental. This may be integrated into additional agency DLP technologies and can include keyword matching, attachment file type or existence prohibitions, attachment size limitations, or even audio/visual filters.	PR.DS
Table 13: Data Protection PEP Security Capabilities	Access Control	Access control technologies allow an agency to define policies concerning the allowable activities of users and entities to data and resources.	PR.AC, PR.IP, DE.CM
Table 13: Data Protection PEP Security Capabilities	Protections for Data at Rest	Data protection at rest aims to secure data stored on any device or storage medium.	PR.DS
Table 13: Data Protection PEP Security Capabilities	Protections for Data in Transit	Data protection in transit, or data in motion, aims to secure data that is actively moving from one location to another, such as across the internet or through a private enterprise network.	PR.DS
Table 13: Data Protection PEP Security Capabilities	Data Loss Prevention	DLP technologies detect instances of the exfiltration, either malicious or accidental, of agency data.	PR.DS
Table 13: Data Protection PEP Security Capabilities	Data Access and Use Telemetry	Data access and use telemetry identifies agency-sensitive data stored, processed, or transmitted, including those located at a service provider, and enforces detailed logging for access or changes to sensitive data.	ID.AM, PR.AC, PR.DS, PR.PT, DE.AE, DE.CM
