Family	Control	Requirement	Testing Procedures	Guidance
	1.1.4	Requirements for a firewall at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone		Using a firewall on every Internet connection coming into (and out of) the network, and between any DMZ and the internal network, allows the organization to monitor and control access and minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection.
	1.1.4.a		Examine the firewall configuration standards and verify that they include requirements for a firewall at each Internet connection and between any DMZ and the internal network zone.	
	1.1.4.b		Verify that the current network diagram is consistent with the firewall configuration standards.	
	1.1.4.c		Observe network configurations to verify that a firewall is in place at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone, per the documented configuration standards and network diagrams.	
	1.1.5	Description of groups, roles, and responsibilities for management of network components		This description of roles and assignment of responsibilities ensures that personnel are aware of who is responsible for the security of all network components, and that those assigned to manage components are aware of their responsibilities. If roles and responsibilities are not formally assigned, devices could be left unmanaged.
	1.1.5.a		Verify that firewall and router configuration standards include a description of groups, roles, and responsibilities for management of network components.	
	1.1.5.b		Interview personnel responsible for management of network components to confirm that roles and responsibilities are assigned as documented.	
	1.1.6	1.1.6Documentation of business justification and approval for use of all services, protocols, and ports allowed, including documentation of security features implemented for those protocols considered to be insecure.		Compromises often happen due to unused or insecure service and ports, since these often have known vulnerabilities and many organizations don’t patch vulnerabilities for the services, protocols, and ports they don't use (even though the vulnerabilities are still present). By clearly defining and documenting the services, protocols, and ports that are necessary for business, organizations can ensure that all other services, protocols, and ports are disabled or removed.  Approvals should be granted by personnel independent of the personnel managing the configuration.  If insecure services, protocols, or ports are necessary for business, the risk posed by use of these protocols should be clearly understood and accepted by the organization, the use of the protocol should be justified, and the security features that allow these protocols to be used securely should be documented and implemented. If these insecure services, protocols, or ports are not necessary for business, they should be disabled or removed.  For guidance on services, protocols, or ports considered to be insecure, refer to industry standards and guidance (e.g., NIST, ENISA, OWASP, etc.).
	1.1.6.a		Verify that firewall and router configuration standards include a documented list of all services, protocols and ports, including business justification and approval for each.	
	1.1.6.b		Identify insecure services, protocols, and ports allowed; and verify that security features are documented for each service.	
	1.1.6.c		Examine firewall and router configurations to verify that the documented security features are implemented for each insecure service, protocol, and port.	
	1.1.7	Requirement to review firewall and router rule sets at least every six months		This review gives the organization an opportunity at least every six months to clean up any unneeded, outdated, or incorrect rules, and ensure that all rule sets allow only authorized services and ports that match the documented business justifications.  Organizations with a high volume of changes to firewall and router rule sets may wish to consider performing reviews more frequently, to ensure that the rule sets continue to meet the needs of the business.
	1.1.7.a		Verify that firewall and router configuration standards require review of firewall and router rule sets at least every six months.	
	1.1.7.b		Examine documentation relating to rule set reviews and interview responsible personnel to verify that the rule sets are reviewed at least every six months.	
	1.2	Build firewall and router configurations that restrict connections between untrusted networks and any system components in the cardholder data environment.  Note:An “untrusted network” is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity's ability to control or manage.	Examine firewall and router configurations and perform the following to verify that connections are restricted between untrusted networks and system components in the cardholder data environment:	It is essential to install network protection between the internal, trusted network and any untrusted network that is external and/or out of the entity’s ability to control or manage. Failure to implement this measure correctly results in the entity being vulnerable to unauthorized access by malicious individuals or software.  For firewall functionality to be effective, it must be properly configured to control and/or limit traffic into and out of the entity’s network.
	1.2.1	Restrict inbound and outbound traffic to that which is necessary for the cardholder data environment, and specifically deny all other traffic.		Examination of all inbound and outbound connections allows for inspection and restriction of traffic based on the source and/or destination address, thus preventing unfiltered access between untrusted and trusted environments. This prevents malicious individuals from accessing the entity’s network via unauthorized IP addresses or from using services, protocols, or ports in an unauthorized manner (for example, to send data they've obtained from within the entity’s network out to an untrusted server).  Implementing a rule that denies all inbound and outbound traffic that is not specifically needed helps to prevent inadvertent holes that would allow unintended and potentially harmful traffic in or out.
	1.2.1.a		Examine firewall and router configuration standards to verify that they identify inbound and outbound traffic necessary for the cardholder data environment.	
	1.2.1.b		Examine firewall and router configurations to verify that inbound and outbound traffic is limited to that which is necessary for the cardholder data environment.	
	1.2.1.c		Examine firewall and router configurations to verify that all other inbound and outbound traffic is specifically denied, for example by using an explicit “deny all” or an implicit deny after allow statement.	
	1.2.2	Secure and synchronize router configuration files.		While the running (or active) router configuration files include the current, secure settings, the start-up files (which are used when routers are re-started or booted) must be updated with the same secure settings to ensure these settings are applied when the start-up configuration is run.  Because they only run occasionally, start-up configuration files are often forgotten and are not updated. When a router re-starts and loads a start-up configuration that has not been updated with the same secure settings as those in the running configuration, it may result in weaker rules that allow malicious individuals into the network.
	1.2.2.a		Examine router configuration files to verify they are secured from unauthorized access.	
	1.2.2.b		Examine router configurations to verify they are synchronized—for example, the running (or active) configuration matches the start-up configuration (used when machines are booted).	
	1.2.3	Install perimeter firewalls between all wireless networks and the cardholder data environment, and configure these firewalls to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment.		The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious individuals to gain access to the network and cardholder data. If a wireless device or network is installed without the entity’s knowledge, a malicious individual could easily and “invisibly” enter the network. If firewalls do not restrict access from wireless networks into the CDE, malicious individuals that gain unauthorized access to the wireless network can easily connect to the CDE and compromise account information.  Firewalls must be installed between all wireless networks and the CDE, regardless of the purpose of the environment to which the wireless network is connected. This may include, but is not limited to, corporate networks, retail stores, guest networks, warehouse environments, etc.
	1.2.3.a		Examine firewall and router configurations to verify that there are perimeter firewalls installed between all wireless networks and the cardholder data environment.	
	1.2.3.b		Verify that the firewalls deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment.	
	1.3	Prohibit direct public access between the Internet and any system component in the cardholder data environment.	Examine firewall and router configurations—including but not limited to the choke router at the Internet, the DMZ router and firewall, the DMZ cardholder segment, the perimeter router, and the internal cardholder network segment—and perform the following to determine that there is no direct access between the Internet and system components in the internal cardholder network segment:	While there may be legitimate reasons for untrusted connections to be permitted to DMZ systems (e.g., to allow public access to a web server), such connections should never be granted to systems in the internal network. A firewall's intent is to manage and control all connections between public systems and internal systems, especially those that store, process or transmit cardholder data. If direct access is allowed between public systems and the CDE, the protections offered by the firewall are bypassed, and system components storing cardholder data may be exposed to compromise.
	1.3.1	Implement a DMZ to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports.	Examine firewall and router configurations to verify that a DMZ is implemented to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports.	The DMZ is that part of the network that manages connections between the Internet (or other untrusted networks), and services that an organization needs to have available to the public (like a web server).  This functionality is intended to prevent malicious individuals from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner.
	1.3.2	Limit inbound Internet traffic to IP addresses within the DMZ.	Examine firewall and router configurations to verify that inbound Internet traffic is limited to IP addresses within the DMZ.	The DMZ is that part of the network that manages connections between the Internet (or other untrusted networks), and services that an organization needs to have available to the public (like a web server).  This functionality is intended to prevent malicious individuals from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner.
	1.3.3	Implement anti-spoofing measures to detect and block forged source IP addresses from entering the network.  (For example, block traffic originating from the Internet with an internal source address.)	Examine firewall and router configurations to verify that anti-spoofing measures are implemented, for example internal addresses cannot pass from the Internet into the DMZ.	Normally a packet contains the IP address of the computer that originally sent it so other computers in the network know where the packet came from. Malicious individuals will often try to spoof (or imitate) the sending IP address so that the target system believes the packet is from a trusted source.  Filtering packets coming into the network helps to, among other things, ensure packets are not “spoofed” to look like they are coming from an organization’s own internal network.
	1.3.4	Do not allow unauthorized outbound traffic from the cardholder data environment to the Internet.	Examine firewall and router configurations to verify that outbound traffic from the cardholder data environment to the Internet is explicitly authorized.	All traffic outbound from the cardholder data environment should be evaluated to ensure that it follows established, authorized rules. Connections should be inspected to restrict traffic to only authorized communications (for example by restricting source/destination addresses/ports, and/or blocking of content).
	1.3.5	Permit only “established” connections into the network.	Examine firewall and router configurations to verify that the firewall permits only established connections into the internal network and denies any inbound connections not associated with a previously established session.	A firewall that maintains the "state" (or the status) for each connection through the firewall knows whether an apparent response to a previous connection is actually a valid, authorized response (since it retains each connection’s status) or is malicious traffic trying to trick the firewall into allowing the connection.
	1.3.6	Place system components that store cardholder data (such as a database) in an internal network zone, segregated from the DMZ and other untrusted networks.	Examine firewall and router configurations to verify that system components that store cardholder data are on an internal network zone, segregated from the DMZ and other untrusted networks.	If cardholder data is located within the DMZ, it is easier for an external attacker to access this information, since there are fewer layers to penetrate. Securing system components that store cardholder data in an internal network zone that is segregated from the DMZ and other untrusted networks by a firewall can prevent unauthorized network traffic from reaching the system component.  Note:This requirement is not intended to apply to temporary storage of cardholder data in volatile memory.
	1.3.7	Do not disclose private IP addresses and routing information to unauthorized parties.  Note:Methods to obscure IP addressing may include, but are not limited to:  • Network Address Translation (NAT)  • Placing servers containing cardholder data behind proxy servers/firewalls,  • Removal or filtering of route advertisements for private networks that employ registered addressing,  • Internal use of RFC1918 address space instead of registered addresses.		Restricting the disclosure of internal or private IP addresses is essential to prevent a hacker “learning” the IP addresses of the internal network, and using that information to access the network.  Methods used to meet the intent of this requirement may vary depending on the specific networking technology being used. For example, the controls used to meet this requirement may be different for IPv4 networks than for IPv6 networks.
	1.3.7.a		Examine firewall and router configurations to verify that methods are in place to prevent the disclosure of private IP addresses and routing information from internal networks to the Internet.	
	1.3.7.b		Interview personnel and examine documentation to verify that any disclosure of private IP addresses and routing information to external entities is authorized.	
	1.4	Install personal firewall software or equivalent functionality on any portable computing devices (including company and/or employee-owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE. Firewall (or equivalent) configurations include:  • Specific configuration settings are defined.  • Personal firewall (or equivalent functionality) is actively running.  • Personal firewall (or equivalent functionality) is not alterable by users of the portable computing devices.		Portable computing devices that are allowed to connect to the Internet from outside the corporate firewall are more vulnerable to Internet-based threats. Use of firewall functionality (e.g., personal firewall software or hardware) helps to protect devices from Internet-based attacks, which could use the device to gain access the organization’s systems and data once the device is re-connected to the network.  The specific firewall configuration settings are determined by the organization.  Note:This requirement applies to employee-owned and company-owned portable computing devices. Systems that cannot be managed by corporate policy introduce weaknesses and provide opportunities that malicious individuals may exploit. Allowing untrusted systems to connect to an organization’s CDE could result in access being granted to attackers and other malicious users.
	1.4.a		Examine policies and configuration standards to verify:  • Personal firewall software or equivalent functionality is required for all portable computing devices (including company and/or employee-owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE.  • Specific configuration settings are defined for personal firewall (or equivalent functionality).  • Personal firewall (or equivalent functionality) is configured to actively run.  • Personal firewall (or equivalent functionality) is configured to not be alterable by users of the portable computing devices.	
	1.4.b		Inspect a sample of company and/or employee-owned devices to verify that:  • Personal firewall (or equivalent functionality) is installed and configured per the organization’s specific configuration settings.  • Personal firewall (or equivalent functionality) is actively running.  • Personal firewall (or equivalent functionality) is not alterable by users of the portable computing devices.	
	1.5	Ensure that security policies and operational procedures for managing firewalls are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for managing firewalls are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and operational procedures to ensure firewalls and routers are continuously managed to prevent unauthorized access to the network.
2		Do not use vendor-supplied defaults for system passwords and other security parameters		Malicious individuals (external and internal to an entity) often use vendor default passwords and other vendor default settings to compromise systems. These passwords and settings are well known by hacker communities and are easily determined via public information.
	2.1	Always change vendor-supplied defaults and remove or disable unnecessary default accounts beforeinstalling a system on the network.  This applies to ALL default passwords, including but not limited to those used by operating systems, software that provides security services, application and system accounts, point-of-sale (POS)terminals, payment applications, Simple Network Management Protocol (SNMP) community strings, etc.).		Malicious individuals (external and internal to an organization) often use vendor default settings, account names, and passwords to compromise operating system software, applications, and the systems on which they are installed. Because these default settings are often published and are well known in hacker communities, changing these settings will leave systems less vulnerable to attack.  Even if a default account is not intended to be used, changing the default password to a strong unique password and then disabling the account will prevent a malicious individual from re-enabling the account and gaining access with the default password.
	2.1.a		Choose a sample of system components, and attempt to log on (with system administrator help) to the devices and applications using default vendor-supplied accounts and passwords, to verify that ALL default passwords (including those on operating systems, software that provides security services, application and system accounts, POS terminals, and Simple Network Management Protocol (SNMP) community strings) have been changed. (Use vendor manuals and sources on the Internet to find vendor-supplied accounts/passwords.)	
	2.1.b		For the sample of system components, verify that all unnecessary default accounts (including accounts used by operating systems, security software, applications, systems, POS terminals, SNMP, etc.) are removed or disabled.	
	2.1.c		Interview personnel and examine supporting documentation to verify that:  • All vendor defaults (including default passwords on operating systems, software providing security services, application and system accounts, POS terminals, Simple Network Management Protocol (SNMP) community strings, etc.) are changed before a system is installed on the network.  • Unnecessary default accounts (including accounts used by operating systems, security software, applications, systems, POS terminals, SNMP, etc.) are removed or disabled before a system is installed on the network.	
	2.1.1	For wireless environments connected to the cardholder data environment or transmitting cardholder data, change ALL wireless vendor defaults at installation, including but not limited to default wireless encryption keys, passwords, and SNMP community strings.		If wireless networks are not implemented with sufficient security configurations (including changing default settings), wireless sniffers can eavesdrop on the traffic, easily capture data and passwords, and easily enter and attack the network.  In addition, the key-exchange protocol for older versions of 802.11x encryption (Wired Equivalent Privacy, or WEP) has been broken and can render the encryption useless. Firmware for devices should be updated to support more secure protocols.
	2.1.1.a		Interview responsible personnel and examine supporting documentation to verify that:  • Encryption keys were changed from default at installation  • Encryption keys are changed anytime anyone with knowledge of the keys leaves the company or changes positions.	
	2.1.1.b		Interview personnel and examine policies and procedures to verify:  • Default SNMP community strings are required to be changed upon installation.  • Default passwords/passphrases on access points are required to be changed upon installation.	
	2.1.1.c		Examine vendor documentation and login to wireless devices, with system administrator help, to verify:  • Default SNMP community strings are not used.  • Default passwords/passphrases on access points are not used.	
	2.1.1.d		Examine vendor documentation and observe wireless configuration settings to verify firmware on wireless devices is updated to support strong encryption for:  • Authentication over wireless networks  • Transmission over wireless networks.	
	2.1.1.e		Examine vendor documentation and observe wireless configuration settings to verify other security-related wireless vendor defaults were changed, if applicable.	
	2.2	Develop configuration standards for all system components. Assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards.  Sources of industry-accepted system hardening standards may include, but are not limited to:  • Center for Internet Security (CIS)  • International Organization for Standardization (ISO)  • SysAdmin Audit Network Security (SANS) Institute  • National Institute of Standards Technology (NIST).		There are known weaknesses with many operating systems, databases, and enterprise applications, and there are also known ways to configure these systems to fix security vulnerabilities. To help those that are not security experts, a number of security organizations have established system-hardening guidelines and recommendations, which advise how to correct these weaknesses.  Examples of sources for guidance on configuration standards include, but are not limited to: www.nist.gov, www.sans.org, and www.cisecurity.org, www.iso.org, and product vendors.  System configuration standards must be kept up to date to ensure that newly identified weaknesses are corrected prior to a system being installed on the network.
	2.2.a		Examine the organization’s system configuration standards for all types of system components and verify the system configuration standards are consistent with industry-accepted hardening standards.	
	2.2.b		Examine policies and interview personnel to verify that system configuration standards are updated as new vulnerability issues are identified, as defined in Requirement 6.1.	
	2.2.c		Examine policies and interview personnel to verify that system configuration standards are applied when new systems are configured and verified as being in place before a system is installed on the network.	
	2.2.d		Verify that system configuration standards include the following procedures for all types of system components:  • Changing of all vendor-supplied defaults and elimination of unnecessary default accounts  • Implementing only one primary function per server to prevent functions that require different security levels from co-existing on the same server  • Enabling only necessary services, protocols, daemons, etc., as required for the function of the system  • Implementing additional security features for any required services, protocols or daemons that are considered to be insecure  • Configuring system security parameters to prevent misuse  • Removing all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers.	
	2.2.1	Implement only one primary function per server to prevent functions that require different security levels from co-existing on the same server. (For example, web servers, database servers, and DNS should be implemented on separate servers.)  Note:Where virtualization technologies are in use, implement only one primary function per virtual system component. Note: Where virtualization technologies are in use, implement only one primary function per virtual system component.		If server functions that need different security levels are located on the same server, the security level of the functions with higher security needs would be reduced due to the presence of the lower-security functions. Additionally, the server functions with a lower security level may introduce security weaknesses to other functions on the same server. By considering the security needs of different server functions as part of the system configuration standards and related processes, organizations can ensure that functions requiring different security levels don’t co-exist on the same server.
	2.2.1.a		Select a sample of system components and inspect the system configurations to verify that only one primary function is implemented per server.	
	2.2.1.b		If virtualization technologies are used, inspect the system configurations to verify that only one primary function is implemented per virtual system component or device.	
	2.2.2	Enable only necessary services, protocols, daemons, etc., as required for the function of the system.		As stated in Requirement 1.1.6, there are many protocols that a business may need (or have enabled by default) that are commonly used by malicious individuals to compromise a network. Including this requirement as part of an organization's configuration standards and related processes ensures that only the necessary services and protocols are enabled.
	2.2.2.a		Select a sample of system components and inspect enabled system services, daemons, and protocols to verify that only necessary services or protocols are enabled.	
	2.2.2.b		Identify any enabled insecure services, daemons, or protocols and interview personnel to verify they are justified per documented configuration standards.	
	2.2.3	Implement additional security features for any required services, protocols, or daemons that are considered to be insecure.	Inspect configuration settings to verify that security features are documented and implemented for all insecure services, daemons, or protocols.	Enabling security features before new servers are deployed will prevent servers being installed into the environment with insecure configurations.  Ensuring that all insecure services, protocols, and daemons are adequately secured with appropriate security features makes it more difficult for malicious individuals to take advantage of commonly used points of compromise within a network.  Refer to industry standards and best practices for information on strong cryptography and secure protocols (e.g., NIST SP 800-52 and SP 800-57, OWASP, etc.).  Note:SSL/early TLS is not considered strong cryptography and may not be used as a security control, except by POS POI terminals that are verified as not being susceptible to known exploits and the termination points to which they connect as defined in Appendix A2.
	2.2.4	Configure system security parameters to prevent misuse.		System configuration standards and related processes should specifically address security settings and parameters that have known security implications for each type of system in use.  In order for systems to be configured securely, personnel responsible for configuration and/or administering systems must be knowledgeable in the specific security parameters and settings that apply to the system.
	2.2.4.a		Interview system administrators and/or security managers to verify that they have knowledge of common security parameter settings for system components.	
	2.2.4.b		Examine the system configuration standards to verify that common security parameter settings are included.	
	2.2.4.c		Select a sample of system components and inspect the common security parameters to verify that they are set appropriately and in accordance with the configuration standards.	
	2.2.5	Remove all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers.		Unnecessary functions can provide additional opportunities for malicious individuals to gain access to a system. By removing unnecessary functionality, organizations can focus on securing the functions that are required and reduce the risk that unknown functions will be exploited.  Including this in server-hardening standards and processes addresses the specific security implications associated with unnecessary functions (for example, by removing/disabling FTP or the web server if the server will not be performing those functions).
	2.2.5.a		Select a sample of system components and inspect the configurations to verify that all unnecessary functionality (for example, scripts, drivers, features, subsystems, file systems, etc.) is removed.	
	2.2.5.b		Examine the documentation and security parameters to verify enabled functions are documented and support secure configuration.	
	2.2.5.c		Examine the documentation and security parameters to verify that only documented functionality is present on the sampled system components.	
	2.3	Encrypt all non-console administrative access using strong cryptography.	Select a sample of system components and verify that non-console administrative access is encrypted by performing the following:	If non-console (including remote) administration does not use secure authentication and encrypted communications, sensitive administrative or operational level information (like administrator’s IDs and passwords) can be revealed to an eavesdropper. A malicious individual could use this information to access the network, become administrator, and steal data.  Clear-text protocols (such as HTTP, telnet, etc.) do not encrypt traffic or logon details, making it easy for an eavesdropper to intercept this information. To be considered “strong cryptography,” industry-recognized protocols with appropriate key strengths and key management should be in place as applicable for the type of technology in use. (Refer to "strong cryptography” in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms, and industry standards and best practices such as NIST SP 800-52 and SP 800-57, OWASP, etc.) Note: SSL/early TLS is not considered strong cryptography and may not be used as a security control, except by POS POI terminals that are verified as not being susceptible to known exploits and the termination points to which they connect as defined in Appendix A2.
	2.3.a		Observe an administrator log on to each system and examine system configurations to verify that a strong encryption method is invoked before the administrator’s password is requested.	
	2.3.b		Review services and parameter files on systems to determine that Telnet and other insecure remote-login commands are not available for non-console access.	
	2.3.c		Observe an administrator log on to each system to verify that administrator access to any web-based management interfaces is encrypted with strong cryptography.	
	2.3.d		Examine vendor documentation and interview personnel to verify that strong cryptography for the technology in use is implemented according to industry best practices and/or vendor recommendations.	
	2.4	Maintain an inventory of system components that are in scope for PCI DSS.		Maintaining a current list of all system components will enable an organization to accurately and efficiently define the scope of their environment for implementing PCI DSS controls. Without an inventory, some system components could be forgotten, and be inadvertently excluded from the organization’s configuration standards.
	2.4.a		Examine system inventory to verify that a list of hardware and software components is maintained and includes a description of function/use for each.	
	2.4.b		Interview personnel to verify the documented inventory is kept current.	
	2.5	Ensure that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for managing vendor defaults and other security parameters are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and daily operational procedures to ensure vendor defaults and other security parameters are continuously managed to prevent insecure configurations.
	2.6	Shared hosting providers must protect each entity’s hosted environment and cardholder data. These providers must meet specific requirements as detailed in Appendix A1: Additional PCI DSS Requirements for Shared Hosting Providers.	Perform testing procedures A1.1through A1.4detailed in Appendix A1: Additional PCI DSS Requirements for Shared Hosting Providersfor PCI DSS assessments of shared hosting providers, to verify that shared hosting providers protect their entities’ (merchants and service providers) hosted environment and data.	This is intended for hosting providers that provide shared hosting environments for multiple clients on the same server. When all data is on the same server and under control of a single environment, often the settings on these shared servers are not manageable by individual clients. This allows clients to add insecure functions and scripts that impact the security of all other client environments; and thereby make it easy for a malicious individual to compromise one client's data and thereby gain access to all other clients' data. See Appendix A1for details of requirements.
3		Protect stored cardholder data		Protection methods such as encryption, truncation, masking, and hashing are critical components of cardholder data protection. If an intruder circumvents other security controls and gains access to encrypted data, without the proper cryptographic keys, the data is unreadable and unusable to that person. Other effective methods of protecting stored data should also be considered as potential risk mitigation opportunities. For example, methods for minimizing risk include not storing cardholder data unless absolutely necessary, truncating cardholder data if full PAN is not needed, and not sending unprotected PANs using end-user messaging technologies, such as e-mail and instant messaging.Please refer to the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms for definitions of “strong cryptography” and other PCI DSS terms.
	3.1	Keep cardholder data storage to a minimum by implementing data retention and disposal policies, procedures and processes that include at least the following for all cardholder data (CHD) storage:  • Limiting data storage amount and retention time to that which is required for legal, regulatory, and/or business requirements  • Specific retention requirements for cardholder data  • Processes for secure deletion of data when no longer needed  • A quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention.		A formal data retention policy identifies what data needs to be retained, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed.  The only cardholder data that may be stored after authorization is the primary account number or PAN (rendered unreadable), expiration date, cardholder name, and service code.  Understanding where cardholder data is located is necessary so it can be properly retained or disposed of when no longer needed. In order to define appropriate retention requirements, an entity first needs to understand their own business needs as well as any legal or regulatory obligations that apply to their industry, and/or that apply to the type of data being retained. Identifying and deleting stored data that has exceeded its specified retention period prevents unnecessary retention of data that is no longer needed. This process may be automated or manual or a combination of both. For example, a programmatic procedure (automatic or manual) to locate and remove data and/or a manual review of data storage areas could be performed. Implementing secure deletion methods ensure that the data cannot be retrieved when it is no longer needed. Remember, if you don't need it, don't store it!
	3.1.a		Examine the data retention and disposal policies, procedures and processes to verify they include the following for all cardholder data (CHD) storage:  • Limiting data storage amount and retention time to that which is required for legal, regulatory, and/or business requirements.  • Specific requirements for retention of cardholder data (for example, cardholder data needs to be held for X period for Y business reasons).  • Processes for secure deletion of cardholder data when no longer needed for legal, regulatory, or business reasons.  • A quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention requirements.	
	3.1.b		Interview personnel to verify that:  • All locations of stored cardholder data are included in the data retention and disposal processes.  • Either a quarterly automatic or manual process is in place to identify and securely delete stored cardholder data.  • The quarterly automatic or manual process is performed for all locations of cardholder data.	
	3.1.c		For a sample of system components that store cardholder data:  • Examine files and system records to verify that the data stored does not exceed the requirements defined in the data retention policy  • Observe the deletion mechanism to verify data is deleted securely.	
