Control	Low	Moderate	High	PHI	Parameters
AC-5		+GR	+GR	+GR	Justification to Select: Separation of duties aligns privileges with appropriate roles with the idea that duties are split between roles in such a way as to reduce the risk of malevolent or inappropriate behaviors based on access. Implementing this control helps reduce the risk of inappropriate access to PII (e.g., separating employees that perform security investigations from mission and business functions). Privacy Overlay 29 Attachment 6 to Appendix F 04/20/2015 Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Separation of duties is implemented by designating a selected set of administrators the capability to set user permissions to PII and PHI information, while those administrators do not themselves have access to the PII and PHI. The principle of separation of duties is significant for developers as well as for operational system administrators. Related Control: AC-6 PHI Supplemental Guidance: HIPAA requires the separation of duties to ensure that checks and balances are designed into the system to limit the effect of any given end user to control the entire process. Roles and responsibilities should be divided so that a single end user cannot subvert a critical process. This practice divides the tasks related to maintaining system security among different personnel such that no single individual could compromise PHI. Related Control: AC-6. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9)-(e)(10) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(i); 45 C.F.R. §164.308(a)(4)(i); 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.312(c)(1)
AC-6		+GR	+GR	+GR	Justification to Select: The concept of least privilege aligns with the notion of only allowing access to PII when a particular individual has a need-to-know in performance of their job duties. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: The organization enforces the most restrictive set of rights/privileges or access needed by users (or processes acting on behalf of users) for the performance of specified tasks — increasing the level of restriction as PII confidentiality impact level rises. The organization ensures that users who must access records containing PII only have access to the minimum amount of PII, along with only those privileges (e.g., read, write, execute) necessary to perform their assigned tasks. PHI Supplemental Guidance: HIPAA requires least privilege to satisfy both the Minimum Necessary Rule and access control safeguards. Related Control: AC-5. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b); OMB M-06-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(i); 45 C.F.R. §164.308(a)(4)(i); 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.502(b)
AC-6 (1)			+GR	+R	Justification to Select: Limiting access to security functions to authorized personnel reduces the number of users able to perform certain security functions, such as configuring access permissions, setting audit logs, performing system management functions. Examples of authorized personnel include security administrators, system and network administrators, system security officers, system maintenance personnel, system programmers, and other privileged users. These types of security functions can provide a level of access to PII, and capabilities to manipulate it, in ways that other users roles typically could not. High PII Confidentiality Impact Level Supplemental Guidance: The organization identifies the security relevant functions that require authorized access for all information systems that contain moderate or high PII confidentiality impact level information. High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b)(1); OMB M-06-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(i); 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(3)(ii)(B); 45 C.F.R. §164.308(a)(4)(i); 45 C.F.R. §164.502(b)
AC-6 (2)		+GR	+GR	+R	Justification to Select: This control requires system users with elevated privileges to use their non-privileged accounts when performing non-security functions. Requiring system users to use their non-privileged accounts when working with PII for purposes other than security functions limits inadvertent access to or disclosure of PII and protects the integrity of PII. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Any access involving PII that is non-administrative in nature should require the user to use their nonprivileged accounts to perform that function. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b); OMB M-06-16 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(3)(ii)(B); 45 C.F.R. §164.502(b)
AC-6 (3)			GR		High PII Confidentiality Impact Level Supplemental Guidance: This controls restricts network access (i.e. access across a network connection as opposed to local access, such as being physically present at a device to access) to perform privileged commands. High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b)(1); OMB M-06-16
AC-6 (5)			+R	+R	Justification to Select: This control limits who is authorized to administrative accounts, such as those who can perform security functions, which include configuring access permissions, setting audit logs and performing system management functions. These types of system and network management personnel typically have a level of access that is capable of circumventing other access controls. Limiting access to these accounts further protects PII by limiting the number of individuals that have the "keys to the kingdom" on a network or system. High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b)(1); OMB M-06-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(i); 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(3)(ii)(B); 45 C.F.R. §164.312(a)(1)
AC-6 (7)	+VR	+VR	+VR	+VR	Justification to Select: Review of user privileges is necessary in order to ensure privileges are revoked for those who no longer require access to PII or PHI. Implementation of this control reduces the risk of unauthorized access to PII by users who no longer need access to perform their job functions. Low and Moderate PII Confidentiality Impact Level Parameter Value: (a) … at least annually… … individuals with access to low or moderate confidentiality impact level PII…… High PII Confidentiality Impact Level Parameter Value: (a) … at least quarterly… …… individuals with access to privileged accounts… AND (a) … at least annually… … individuals with access to high confidentiality impact level PII…… PHI Parameter Value: (a) … at least quarterly… …… individuals with access to privileged accounts… AND (a) … at least annually… … individuals with access to PHI…… Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) , (e)(9)-(10); OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(3)(ii)(B); 45 C.F.R. §164.308(a)(4)(i); 45 C.F.R. §164.308(a)(4)(ii)(B); 45 C.F.R. §164.308(a)(4)(ii)(C); 45 C.F.R. Privacy Overlay 32 Attachment 6 to Appendix F 04/20/2015 §164.308(a)(5)(ii)(C); 45 C.F.R. §164.312(a)(2)(i); 45 C.F.R. §164.312(a)(2)(ii); 45 C.F.R. §164.312(b)
AC-6 (9)		+R	+R	+R	Justification to Select: Privileged functions have elevated permissions to access, and grant access, to PII. Accountability requires the ability to detect, trace, and audit a privileged function whenever it is executed. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130, 7.g. and Appendix III PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(D); 45 C.F.R. §164.312(b)
AC-6 (10)		+R	+R		Justification to Select: Non-privileged users may not have the same level of trust as privileged users. Privileged functions have access beyond that of the typical user, and as such may have greater ability to access PII. Individual accountability requires the ability to trace (audit) the actions of the user who initiated them. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130, 7.g. and Appendix III
AC-8	GR	GR	GR	GR	Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: System use notification (e.g., logon banner) does not satisfy the requirement for Privacy Act Statements or Privacy Act system of records notice, when applicable – see TR-1 and TR-2. System use notifications are the primary, interactive vehicle for notifying system users prior to accessing a system of the organization's monitoring practices and reminding users that unauthorized use is both prohibited and subject to criminal and civil penalties. The system use notification requires explicit action from the system user to acknowledge the notice before they can enter the system. While system use notices are principally intended to convey information regarding consent to monitor (and other security-relevant information), they may also be, in some instances, an appropriate means to remind system users that the system being accessed contains sensitive PII and requires due care (e.g., a logon banner on an employee management system). Related Controls: TR-1, TR-2. PHI Supplemental Guidance: System Use Notification does not satisfy the requirement for privacy notice under the HIPAA Privacy Rule. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(3) and (e)(4); OMB Circular A-130, 7.g. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.520(1)(i)
AC-11	+EVR	+EVR	+EVR	+GR	Justification to Select: This control protects PII from unauthorized access when system users are away from their workstation. Since 2007, OMB has required session lock for remote and mobile devices, a standard which is neither technically nor financially burdensome. Based on risk, many agencies have adopted 15-minute session locks by policy as a best practice. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Period of inactivity shall be no more than 30 minutes before session lock occurs for remote and mobile devices and requires user re-authentication. As agencies continue to migrate to laptops and docking stations making clients increasingly mobile, this is a logical extension of that requirement. PHI Supplemental Guidance: Under HIPAA, this is an addressable control, therefore the decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate, and High PII Confidentiality Impact Level Parameter Value: a. … no more than 30 minutes… Privacy Overlay 33 Attachment 6 to Appendix F 04/20/2015 Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(10); OMB M-06-16; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.312(a)(2)(iii)
AC-12				+GR	Justification to Select: The session termination control requires implementing functionality to prevent unauthorized use of an established user session. This control protects PHI from unauthorized access when system users have initiated a session. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. PHI Regulatory/Statutory References: 45 C.F.R. §164.312(a)(2)(iii); 45 C.F.R. §164.308(a)(3)(ii)(C)
AC-14		GR	GR	GR	Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Individual accountability requires the ability to trace (audit) the actions of the user who initiated them when accessing PII. Therefore, un-identified and un-authenticated users shall not access PII. Related Control: AC-2(9) PHI Supplemental Guidance: Individual accountability requires the ability to trace (audit) the actions of the user who initiated them when accessing PHI. Therefore, unidentified and un-authenticated users shall not access PHI. Related Control: AC-2(9) Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b); OMB Circular A-130, 7.g. and Appendix III PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312(a)(2)(i)
AC-16	+GVR	+GVR	+GVR	+GVR	Justification to Select: Implementation of this control provides a technical means to enforce security and privacy policies, e.g., access controls and encryption. Parameter values specified by the Privacy Overlays for this control include meta-data that supports privacy. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Using the security attributes listed in this control's parameter values section enables cross system functionality and reciprocity through consistent security attribute interpretation. This control supports privacy protections by assigning security attributes that characterize information, devices, or processes (i.e., an "object") as containing PII or associate an organization's mandatory security/privacy training requirement with a user (i.e., a "subject") of an information system containing PII. The terms "Subject" and "Object" are defined in NIST SP 800-53, Rev. 4, Appendix B, Glossary. Security attributes are meta-data about either a subject or an object. Other security attributes may exist for other requirements beyond privacy. If an organization creates security attributes they should be cognizant of the risk associated with including PII in that meta-data. However, PII is not included in the security attributes for the parameter values specified below. Related Controls: AC-2, AC-3, AC-4, AC-4(15), AC-4(18) PHI Supplemental Guidance: The parameter values below for PHI enable policies, procedures, and data classification schemas that specify the application of administrative, technical, physical controls of a specific workstation or class of workstation that maintains electronic PHI. Related Controls: AC-2, AC-3, AC-4, AC-4(15), AC-4(18) Privacy Overlay 34 Attachment 6 to Appendix F 04/20/2015 Low, Moderate, and High PII Confidentiality Impact Level Parameter Value: a. … a security attribute to demonstrate the user (subject) has completed privacy training in the last year… … for data structures that are known or plan to contain PII, a security attribute of "Contains PII" [having] value of "yes" or "no"… PHI Parameter Value: a. … for data structures that are known or plan to contain PHI, a security attribute of "Contains PHI" [having] value of "yes" or "no"… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b), (e)(9)-(10); OMB Circular A-130, 7.g. and Appendix III PHI Regulatory/Statutory Reference: 45 C.F.R. §164.310(b)
AC-16 (3)	+GVR	+GVR	+GVR	+GVR	Justification to Select: In an effort to use automated systems controls for PII and PHI objects, such as intrusion detection and key-word detection tools, maintaining the association and integrity of security attributes to subjects and objects can be used as the basis of automated policy actions. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AC-4, AC-4(15), AC-4(18) PHI Supplemental Guidance: Implement policies, procedures, and data classification schemas that specify the manner in which the physical, technical, and security attributes of the surroundings of a specific workstation or class of workstation that can access electronic PHI. Low, Moderate, and High PII Confidentiality Impact Level Parameter Value: … the user attribute of "Annual PII Training" [to] individuals with access to PII…… … the information attribute of "Contains PII" [to] applicable information… PHI Parameter Value: … the information attribute of "Contains PHI" [to] applicable information…… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. and Appendix III PHI Regulatory/Statutory Reference: 45 C.F.R. §164.310(b)
AC-17	+GR	+GR	+GR	+GR	Justification to Select: Limiting access to PII from remote networks and/or restricting activities that can be conducted with PII remotely reduces the risk of intentional and unintentional disclosures of PII that may not exist on an internal network. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Allow remote access to PII only with two-factor authentication where one of the factors is provided by a device separate from the computer gaining access. PHI Supplemental Guidance: Implement technical security measures to guard against unauthorized remote access to electronic PHI that is being transmitted over an electronic communications network. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-06-16; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.310(b); 45 C.F.R. §164.310(c); 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.312(e)(1)
AC-17 (1)	+GR	+GR	+GR	+R	Justification to Select: Auditing remote access ensures unauthorized connections to information systems containing PII can be detected across all information system platforms (e.g., servers, mobile devices, work stations). Low, Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Audit all remote access to, and actions on, resources containing PII. Related Control: AU-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-06-16; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.310(b); 45 C.F.R. §164.310(c); 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.312(b); 45 C.F.R. §164.312(e)(1);
AC-17 (2)	+R	+R	+R	+GR	Justification to Select: Encrypting remote sessions protects the confidentiality and integrity of PII. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-06-16, Step 3 PHI Regulatory/Statutory References: 45 C.F.R. §164.312(a)(2)(iv); 45 C.F.R. §164.312(e)(2)(ii);
AC-18 (1)	+GR	+GR	+GR		Justification to Select: Communications over wireless networks, unless properly secured, have greater risk of interception than hard-wired networks. Implementing encryption of wireless network communications containing PII renders any intercepted data unreadable. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: If wireless networks permit access to organization information systems containing PII, then encryption of content and authentication of users or devices is required. Organizations should ensure that all WLAN components use Federal Information Processing Standards (FIPS)-approved cryptographic algorithms to protect the confidentiality and integrity of WLAN communications. Related Controls: AC-3, IA-2, IA-3, IA-8. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: NIST SP 800-97, NIST SP 800-153
AC-19	+ER	+ER	+ER	+GR	Justification to Select: Limiting access to PII from mobile devices reduces the risk of intentional and unintentional disclosures of PII that may not exist on an internal network. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Encrypt information on all mobile devices that contains low, moderate, and high PII confidentiality impact level information. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB M-06-16; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.310(b); 45 C.F.R. §164.312(d); 45 C.F.R. §164.312(e)(2)(ii)
