Control	TITLE	Confidentiality_Low	Confidentiality_Moderate	Confidentiality_High	Integrity_Low	Integrity_Moderate	Integrity_High	Availability_Low	Availability_Moderate	Availability_High	ID	C	I	A	Justification for NSS Baseline	Potentially Common or Inheritable	Parameters
AC-16 (7)	Security Attributes | Consistent Attribute Interpretation										AC-16 (7)	X	X				
AC-16 (8)	Security Attributes | Association Techniques / Technologies										AC-16 (8)		X				
AC-16 (9)	Security Attributes | Attribute Reassignment										AC-16 (9)	X	X				
AC-16 (10)	Security Attributes | Attribute Configuration by Authorized Individuals										AC-16 (10)	X	X				
AC-17	Remote Access	X	X	X	X	X	X				AC-17	X	X			X	
AC-17 (1)	Remote Access | Automated Monitoring / Control	+	X	X	+	X	X				AC-17 (1)	X	X		Insider Threat.	X	
AC-17 (2)	Remote Access | Protection of Confidentiality / Integrity Using Encryption	+	X	X	+	X	X				AC-17 (2)	X	X		NSS Best Practice.	X	
AC-17 (3)	Remote Access | Managed Access Control Points	+	X	X	+	X	X				AC-17 (3)	X	X		NSS Best Practice.	X	
AC-17 (4)	Remote Access | Privileged Commands / Access	+	X	X	+	X	X				AC-17 (4)	X	X		NSS Best Practice.		
AC-17 (5)	Remote Access | Monitoring For Unauthorized Connections	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-17 (5)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-17 (6)	Remote Access | Protection of Information	+	+	+							AC-17 (6)	X			NSS Best Practice.	X	
AC-17 (7)	Remote Access | Additional Protection For Security Function Access	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-17 (7)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-17 (8)	Remote Access | Disable Nonsecure Network Protocols	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-17 (8)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-17 (9)	Remote Access | Disconnect / Disable Access	+	+	+	+	+	+				AC-17 (9)	X	X		APT. NSS Best Practice. NIST Assumption: Some user data/information in organizational information systems is not shareable with other users who have authorized access to the same systems.	X	[Assignment: organization-defined time period]
AC-18	Wireless Access	X	X	X	X	X	X				AC-18	X	X			X	
AC-18 (1)	Wireless Access | Authentication and Encryption	+	X	X	+	X	X				AC-18 (1)	X	X		NSS Best Practice.	X	[Selection  (one or more): users; devices]
AC-18 (2)	Wireless Access | Monitoring Unauthorized Connections	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-18 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-18 (3)	Wireless Access | Disable Wireless Networking	+	+	+	+	+	+				AC-18 (3)	X	X		NSS Best Practice.	X	
AC-18 (4)	Wireless Access | Restrict Configurations by Users	+	+	X	+	+	X				AC-18 (4)	X	X		NSS Best Practice. Insider Threat.	X	
AC-18 (5)	Wireless Access | Antennas / Transmission Power Levels			X			X				AC-18 (5)	X	X			X	
AC-19	Access Control For Mobile Devices	X	X	X	X	X	X				AC-19	X	X				
AC-19 (1)	Access Control For Mobile Devices | Use of Writable / Portable Storage Devices	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-19 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-19 (2)	Access Control For Mobile Devices | Use of Personally Owned Portable Storage Devices	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-19 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-19 (3)	Access Control For Mobile Devices | Use of Portable Storage Devices with No Identifiable Owner	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-19 (3)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-19 (4)	Access Control For Mobile Devices | Restrictions For Classified Information										AC-19 (4)	X				X	
AC-19 (5)	Access Control For Mobile Devices | Full Device / Container-Based Encryption		X	X		X	X				AC-19 (5)	X	X				[Selection: full-device encryption; container encryption]; [Assignment: organization-defined mobile devices]
AC-20	Use of External Information Systems	X	X	X	X	X	X				AC-20	X	X			X	
AC-20 (1)	Use of External Information Systems | Limits on Authorized Use	+	X	X	+	X	X				AC-20 (1)	X	X		NSS Best Practice.	X	
AC-20 (2)	Use of External Information Systems | Portable Storage Devices	+	X	X							AC-20 (2)	X			Insider Threat. APT.	X	
AC-20 (3)	Use of External Information Systems | Non- Organizationally Owned Systems / / Components / Devices	+	+	+	+	+	+				AC-20 (3)	X	X		Insider Threat. APT.		[Selection: restricts; prohibits]
AC-20 (4)	Use of External Information Systems | Network Accessible Storage Devices										AC-20 (4)	X	X				
AC-21	Information Sharing		X	X							AC-21	X					
AC-21 (1)	Information Sharing | Automated Decision Support										AC-21 (1)	X					
AC-21 (2)	Information Sharing | Information Search and Retrieval										AC-21 (2)	X					
AC-22	Publicly Accessible Content	X	X	X							AC-22	X				X	d. [Assignment: organization-defined frequency]
AC-23	Data Mining Protection		+	+							AC-23	X			Insider Threat.	X	
AC-24	Access Control Decisions										AC-24	X	X				
AC-24 (1)	Access Control Decisions | Transmit Access Authorization Information										AC-24 (1)	X	X				
AC-24 (2)	Access Control Decisions | No User or Process Identity										AC-24 (2)	X	X				
AC-25	Reference Monitor										AC-25	X	X				
AT-1	Security Awareness and Training Policy and Procedures	X	X	X	X	X	X	X	X	X	AT-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
AT-2	Security Awareness Training	X	X	X	X	X	X	X	X	X	AT-2	X	X	X		X	c. [Assignment: organization-defined frequency]
AT-2 (1)	Security Awareness | Practical Exercises										AT-2 (1)	X	X	X		X	
AT-2 (2)	Security Awareness | Insider Threat	+	X	X	+	X	X	+	X	X	AT-2 (2)	X	X	X	Insider Threat. NSS Best Practice. In support of and/or consistent with CM-5 (5).	X	
AT-3	Role-Based Security Training	X	X	X	X	X	X	X	X	X	AT-3	X	X	X		X	c. [Assignment: organization-defined frequency]
AT-3 (1)	Security Training | Environmental Controls										AT-3 (1)			X		X	[Assignment: organization-defined personnel or roles]; [Assignment: organization-defined frequency]
AT-3 (2)	Security Training | Physical Security Controls	+	+	+	+	+	+	+	+	+	AT-3 (2)	X	X	X	Insider Threat. NSS Best Practice.	X	[Assignment: organization-defined personnel or roles]; [Assignment: organization-defined frequency]
AT-3 (3)	Security Training | Practical Exercises										AT-3 (3)	X	X	X		X	[Assignment: organization-defined indicators of malicious code]
AT-3 (4)	Security Training | Suspicious Communications and Anomalous System Behavior	+	+	+	+	+	+	+	+	+	AT-3 (4)	X	X	X	Insider Threat. APT.	X	
AT-4	Security Training Records	X	X	X	X	X	X	X	X	X	AT-4	X	X	X		X	
AT-5	Contacts With Security Groups and Associations	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AT-5	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AU-1	Audit and Accountability Policy and Procedures	X	X	X	X	X	X	X	X	X	AU-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
AU-2	Audit Events	X	X	X	X	X	X				AU-2	X	X				a. [Assignment: organization-defined auditable events]; d. [Assignment: organization-defined audited events  (the subset of the auditable events defined in AU-2 a.) along with the frequency of  (or situation requiring) auditing for each identified event]
AU-2 (1)	Audit Events | Compilation of Audit Records From Multiple Sources	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AU-2 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AU-2 (2)	Audit Events | Selection of Audit Events by Component	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AU-2 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AU-2 (3)	Audit Events | Reviews and Updates	+	X	X	+	X	X				AU-2 (3)	X	X		Insider Threat. Issuance: CNSSD No. 504, CNSSI No. 1015	X	[Assignment: organization-defined frequency]
AU-2 (4)	Audit Events | Privileged Functions	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AU-2 (4)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AU-3	Content of Audit Records	X	X	X	X	X	X				AU-3	X	X				
AU-3 (1)	Content of Audit Records | Additional Audit Information	+	X	X	+	X	X				AU-3 (1)	X	X		Issuance: CNSSI No. 1015		
AU-3 (2)	Content of Audit Records | Centralized Management of Planned Audit Record Content			X			X				AU-3 (2)	X	X			X	
AU-4	Audit Storage Capacity							X	X	X	AU-4			X			
AU-4 (1)	Audit Storage Capacity | Transfer to Alternate Storage	+	+	+	+	+	+	+	+	+	AU-4 (1)	X	X	X	Insider Threat. NSS Best Practice.		
AU-5	Response to Audit Processing Failures							X	X	X	AU-5			X			
AU-5 (1)	Response to Audit Processing Failures | Audit Storage Capacity							+	+	X	AU-5 (1)			X	Insider Threat. NSS Best Practice. Issuance: CNSSI No. 1015		[Assignment: organization-defined personnel, roles, and/or locations]; [Assignment: organization-defined time period] [Assignment: organization-defined percentage]
AU-5 (2)	Response to Audit Processing Failures | Real-Time Alerts									X	AU-5 (2)			X			[Assignment: organization-defined real-time period]; [Assignment: organization-defined personnel, roles, and/or locations]; [Assignment: organization-defined audit failure events requiring real-time alerts]
AU-5 (3)	Response to Audit Processing Failures | Configurable Traffic Volume Thresholds										AU-5 (3)			X			
AU-5 (4)	Response to Audit Processing Failures | Shutdown on Failure										AU-5 (4)	X	X				
AU-6	Audit Review, Analysis, and Reporting	X	X	X	X	X	X				AU-6	X	X			X	a. [Assignment: organization-defined frequency]; [Assignment: organization-defined inappropriate or unusual activity]; b. [Assignment: organization-defined personnel or roles]
AU-6 (1)	Audit Review, Analysis, and Reporting | Process Integration	+	X	X	+	X	X				AU-6 (1)	X	X		Issuance: CNSSI No. 1015	X	
AU-6 (2)	Audit Review, Analysis, and Reporting | Automated Security Alerts	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AU-6 (2)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AU-6 (3)	Audit Review, Analysis, and Reporting | Correlate Audit Repositories	+	X	X	+	X	X				AU-6 (3)	X	X		APT. Insider Threat. Issuance: CNSSI No. 1015	X	
AU-6 (4)	Audit Review, Analysis, and Reporting | Central Review and Analysis	+	+	+	+	+	+				AU-6 (4)	X	X		Issuance: CNSSI No. 1015		
AU-6 (5)	Audit Review, Analysis, and Reporting | Integration / Scanning and Monitoring Capabilities			X			X				AU-6 (5)	X	X			X	
AU-6 (6)	Audit Review, Analysis, and Reporting | Correlation With Physical Monitoring			X			X				AU-6 (6)	X	X			X	
AU-6 (7)	Audit Review, Analysis, and Reporting | Permitted Actions										AU-6 (7)	X	X				
AU-6 (8)	Audit Review, Analysis, and Reporting | Full Text Analysis of Privileged Commands										AU-6 (8)	X	X				
AU-6 (9)	Audit Review, Analysis, and Reporting | Correlation with Information from Nontechnical Sources										AU-6 (9)	X	X			X	
AU-6 (10)	Audit Review, Analysis, and Reporting | Audit Level Adjustment	+	+	+	+	+	+				AU-6 (10)	X	X		Issuance: CNSSI No. 1015		
AU-7	Audit Reduction and Report Generation		X	X		X	X				AU-7	X	X			X	
AU-7 (1)	Audit Reduction and Report Generation | Automatic Processing		X	X		X	X				AU-7 (1)	X	X			X	
AU-7 (2)	Audit Reduction and Report Generation | Automatic Sort and Search										AU-7 (2)	X	X				
AU-8	Time Stamps				X	X	X				AU-8		X				
AU-8 (1)	Time Stamps | Synchronization With Authoritative Time Source				+	X	X				AU-8 (1)		X		NSS Best Practice. Issuance: CNSSI No. 1015		(a) [Assignment: organization-defined frequency]; [Assignment: organization-defined authoritative time source];  (b) [Assignment: organization-defined time period]
AU-8 (2)	Time Stamps | Secondary Authoritative Time Source										AU-8 (2)		X				
AU-9	Protection of Audit Information	X	X	X	X	X	X	X	X	X	AU-9	X	X	X			
AU-9 (1)	Protection of Audit Information | Hardware Write-Once Media										AU-9 (1)		X				
AU-9 (2)	Protection of Audit Information | Audit Backup on Separate Physical Systems / Components									X	AU-9 (2)			X			[Assignment: organization-defined frequency]
AU-9 (3)	Protection of Audit Information | Cryptographic Protection						X				AU-9 (3)		X				
AU-9 (4)	Protection of Audit Information | Access by Subset of Privileged Users	+	X	X	+	X	X				AU-9 (4)	X	X		Insider Threat.	X	
AU-9 (5)	Protection of Audit Information | Dual Authorization										AU-9 (5)	X	X				[Selection  (one or more): movement; deletion]; [Assignment: organization-defined audit information]
AU-9 (6)	Protection of Audit Information | Read Only Access										AU-9 (6)		X				
AU-10	Non-Repudiation					+	X				AU-10		X		Insider Threat.		
AU-10 (1)	Non-Repudiation | Association of Identities										AU-10 (1)		X				
AU-10 (2)	Non-Repudiation | Validate Binding of Information Producer Identity										AU-10 (2)		X				
AU-10 (3)	Non-Repudiation | Chain of Custody										AU-10 (3)		X				
AU-10 (4)	Non-Repudiation | Validate Binding of Information Reviewer Identity										AU-10 (4)		X				
AU-10 (5)	Non-Repudiation | Digital Signatures	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AU-10 (5)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AU-11	Audit Record Retention							X	X	X	AU-11			X		X	[Assignment: organization-defined time period consistent with records retention policy]
AU-11 (1)	Audit Record Retention | Long-Term Retrieval Capability							+	+	+	AU-11 (1)			X	NSS Best Practice.		[Assignment: organization-defined measures]
AU-12	Audit Generation	X	X	X	X	X	X				AU-12	X	X				a. [Assignment: organization-defined information system components]; b. Assignment: organization-defined personnel or roles]
AU-12 (1)	Audit Generation | System-Wide / Time- Correlated Audit Trail				+	+	X				AU-12 (1)		X		Insider Threat. Issuance: CNSSI No. 1015		[Assignment: organization-defined information system components]; [Assignment: organization-defined level of tolerance for relationship between time stamps of individual records in the audit trail]
AU-12 (2)	Audit Generation | Standardized Formats										AU-12 (2)		X				[Assignment: organization-defined frequency]
AU-12 (3)	Audit Generation | Changes by Authorized Individuals	+	+	X	+	+	X				AU-12 (3)	X	X		NSS Best Practice. Insider Threat.		
AU-13	Monitoring For Information Disclosure										AU-13	X				X	
AU-13 (1)	Monitoring For Information Disclosure | Use of Automated Tools										AU-13 (1)	X					
AU-13 (2)	Monitoring For Information Disclosure | Review of Monitored Sites										AU-13 (2)	X					
AU-14	Session Audit	+	+	+	+	+	+				AU-14	X	X		Insider Threat.		
AU-14 (1)	Session Audit | System Start-Up	+	+	+	+	+	+				AU-14 (1)	X	X		Insider Threat.		
AU-14 (2)	Session Audit | Capture/Record and Log Content	+	+	+	+	+	+				AU-14 (2)	X	X		Insider Threat.		
AU-14 (3)	Session Audit | Remote Viewing / Listening	+	+	+							AU-14 (3)	X			Insider Threat.		
AU-15	Alternate Audit Capability										AU-15			X			
AU-16	Cross-Organizational Auditing										AU-16	X	X			X	
AU-16 (1)	Cross-Organizational Auditing | Identity Preservation										AU-16 (1)		X				
AU-16 (2)	Cross-Organizational Auditing | Sharing of Audit Information										AU-16 (2)	X	X				
CA-1	Security Assessment and Authorization Policies and Procedures	X	X	X	X	X	X	X	X	X	CA-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
CA-2	Security Assessments	X	X	X	X	X	X	X	X	X	CA-2	X	X	X		X	b. [Assignment: organization-defined frequency]; d. [Assignment: organization-defined individuals or roles]
CA-2 (1)	Security Assessments | Independent Assessors	+	X	X	+	X	X	+	X	X	CA-2 (1)	X	X	X	Insider Threat. NSS Best Practice.	X	
CA-2 (2)	Security Assessments | Specialized Assessments			X			X			X	CA-2 (2)	X	X	X		X	
