NIST,CJIS
AU-10 (1),5.4.1.1
AU-10,5.4.1.1
AU-12 (3),5.4.1.1
AU-12 (2),5.4.1.1
AU-12 (1),5.4.1.1
AU-12c.,5.4.1.1
AU-12b.,5.4.1.1
AU-12a.,5.4.1.1
AU-12,5.4.1.1
IR-5 (1),5.4.1.1
IR-5,5.4.1.1
AC-6 (1),5.4.1.1
AC-6 (2),5.4.1.1
AC-6 (3),5.4.1.1
AC-6 (4),5.4.1.1
AC-6 (5),5.4.1.1
AC-6 (6),5.4.1.1
AC-6 (7)(b),5.4.1.1
AC-6 (7)(a),5.4.1.1
AC-6 (7),5.4.1.1
AC-6 (8),5.4.1.1
AC-6 (9),5.4.1.1
AC-6 (10),5.4.1.1
AC-6,5.4.1.1
AU-9 (6),5.4.1.1
AU-9 (5),5.4.1.1
AU-9 (4),5.4.1.1
AU-9 (3),5.4.1.1
AU-9 (2),5.4.1.1
AU-9 (1),5.4.1.1
AU-9,5.4.1.1
AU-4 (1),5.4.1.1
AU-4,5.4.1.1
AU-11 (1),5.4.1.1
AU-11,5.4.1.1
AU-3 (2),5.4.1.1
AU-3 (1),5.4.1.1
AU-3,5.4.1.1
IA-2 (13),5.5.2
IA-2 (12),5.5.2
IA-2 (11),5.5.2
IA-2 (10),5.5.2
IA-2 (9),5.5.2
IA-2 (8),5.5.2
IA-2 (7),5.5.2
IA-2 (6),5.5.2
IA-2 (5),5.5.2
IA-2 (4),5.5.2
IA-2 (3),5.5.2
IA-2 (2),5.5.2
IA-2 (1),5.5.2
IA-2,5.5.2
AC-6 (1),5.5.2
AC-6 (2),5.5.2
AC-6 (3),5.5.2
AC-6 (4),5.5.2
AC-6 (5),5.5.2
AC-6 (6),5.5.2
AC-6 (7)(b),5.5.2
AC-6 (7)(a),5.5.2
AC-6 (7),5.5.2
AC-6 (8),5.5.2
AC-6 (9),5.5.2
AC-6 (10),5.5.2
AC-6,5.5.2
AC-9 (4),5.5.2
AC-9 (3),5.5.2
AC-9 (2),5.5.2
AC-9 (1),5.5.2
AC-9,5.5.2
AC-6 (1),5.5.2.2
AC-6 (2),5.5.2.2
AC-6 (3),5.5.2.2
AC-6 (4),5.5.2.2
AC-6 (5),5.5.2.2
AC-6 (6),5.5.2.2
AC-6 (7)(b),5.5.2.2
AC-6 (7)(a),5.5.2.2
AC-6 (7),5.5.2.2
AC-6 (8),5.5.2.2
AC-6 (9),5.5.2.2
AC-6 (10),5.5.2.2
AC-6,5.5.2.2
AC-10,5.5.2.2
AC-3 (10),5.5.6
AC-3 (9)(b),5.5.6
AC-3 (9)(a),5.5.6
AC-3 (9),5.5.6
AC-3 (8),5.5.6
AC-3 (7),5.5.6
AC-3 (6),5.5.6
AC-3 (5),5.5.6
AC-3 (4)(e),5.5.6
AC-3 (4)(d),5.5.6
AC-3 (4)(c),5.5.6
AC-3 (4)(b),5.5.6
AC-3 (4)(a),5.5.6
AC-3 (4),5.5.6
AC-3 (3)(c),5.5.6
AC-3 (3)(b)(5),5.5.6
AC-3 (3)(b)(4),5.5.6
AC-3 (3)(b)(3),5.5.6
AC-3 (3)(b)(2),5.5.6
AC-3 (3)(b)(1),5.5.6
AC-3 (3)(b),5.5.6
AC-3 (3)(a),5.5.6
AC-3 (3),5.5.6
AC-3 (2),5.5.6
AC-3 (1),5.5.6
AC-3,5.5.6
SA-8,5.5.6
AC-12 (1)(b),5.5.6
AC-12 (1)(a),5.5.6
AC-12 (1),5.5.6
AC-12,5.5.6
SC-10,5.5.6
IA-7,5.5.6
SI-7 (16),5.5.6
SI-7 (15),5.5.6
SI-7 (14)(b),5.5.6
SI-7 (14)(a),5.5.6
SI-7 (14),5.5.6
SI-7 (13),5.5.6
SI-7 (12),5.5.6
SI-7 (11),5.5.6
SI-7 (10),5.5.6
SI-7 (9),5.5.6
SI-7 (8),5.5.6
SI-7 (7),5.5.6
SI-7 (6),5.5.6
SI-7 (5),5.5.6
SI-7 (4),5.5.6
SI-7 (3),5.5.6
SI-7 (2),5.5.6
SI-7 (1),5.5.6
SI-7,5.5.6
SC-13 (4),5.5.6
SC-13 (3),5.5.6
SC-13 (2),5.5.6
SC-13 (1),5.5.6
SC-13,5.5.6
IA-2 (13),5.5.6
IA-2 (12),5.5.6
IA-2 (11),5.5.6
IA-2 (10),5.5.6
IA-2 (9),5.5.6
IA-2 (8),5.5.6
IA-2 (7),5.5.6
IA-2 (6),5.5.6
IA-2 (5),5.5.6
IA-2 (4),5.5.6
IA-2 (3),5.5.6
IA-2 (2),5.5.6
IA-2 (1),5.5.6
IA-2,5.5.6
AC-6 (1),5.5.6
AC-6 (2),5.5.6
AC-6 (3),5.5.6
AC-6 (4),5.5.6
AC-6 (5),5.5.6
AC-6 (6),5.5.6
AC-6 (7)(b),5.5.6
AC-6 (7)(a),5.5.6
AC-6 (7),5.5.6
AC-6 (8),5.5.6
AC-6 (9),5.5.6
AC-6 (10),5.5.6
AC-6,5.5.6
IA-7,5.6.2.2
